"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Diagnosis model of low voltage generation based on large data","C. Xueting; L. Huanming; Z. Huiping; S. Shuyong; W. Tan; S. Yuxin; S. Zeyuan","State Grid Shanxi Electric Power Research Institute, Taiyuan, China","2017 IEEE Transportation Electrification Conference and Expo, Asia-Pacific (ITEC Asia-Pacific)","20171026","2017","","","1","6","Voltage is one of the measurement standard of power quality. The issue of low voltage in distribution network seriously affect the social economic development and people's life. Consequently, it would optimize low voltage investment program, clear direction of low voltage investment and provide decision support for the management of low voltage. Canopy- Kmeans is one of the widely used classical partition clustering algorithm. Support vector machine is a kind of sorting algorithms that could take full advantage of limited learning sample to acquire generalization. Both Canopy-Kmeans and Support Vector Machine have better behavior and precision rate. However, the runtime and RAM would be the bottleneck in the case of large amount of data. The application of data mining algorithm based on big data is particularly important. This paper take advantage of distributed Kmeans and SVM algorithm to realize diagnosis model of cause of low voltage based on big data platform of Hadoop. Experiments have shown that this method has a higher accuracy and reliability compared to traditional Kmeans and SVM algorithm.","","Electronic:978-1-5386-2894-2; POD:978-1-5386-2895-9; USB:978-1-5386-2893-5","10.1109/ITEC-AP.2017.8081006","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8081006","Canopy-Kmeans;insert;large data;low voltage;styling","Algorithm design and analysis;Classification algorithms;Clustering algorithms;Low voltage;Machine learning algorithms;Power quality;Support vector machines","Big Data;data mining;fault diagnosis;learning (artificial intelligence);pattern clustering;power engineering computing;support vector machines;voltage measurement","Canopy-Kmeans;SVM;Support Vector Machine;data mining;diagnosis model;distribution network;low voltage generation;low voltage investment;low voltage management;partition clustering;power quality","","","","","","","","7-10 Aug. 2017","","IEEE","IEEE Conferences"
"Deep learning approach for large scale land cover mapping based on remote sensing data fusion","N. Kussul; A. Shelestov; M. Lavreniuk; I. Butko; S. Skakun","Space Research Institute NASU-SSAU, Kyiv, Ukraine","2016 IEEE International Geoscience and Remote Sensing Symposium (IGARSS)","20161103","2016","","","198","201","In the paper we propose the methodology for solving the large scale classification and area estimation problems in the remote sensing domain on the basis of deep learning paradigm. It is based on a hierarchical model that includes self-organizing maps (SOM) for data preprocessing and segmentation (clustering), ensemble of multi-layer perceptrons (MLP) for data classification and heterogeneous data fusion and geospatial analysis for post-processing. The proposed methodology is applied for generation of high resolution land cover and land use maps for the territory of Ukraine from 1990 to 2010 and 2015.","","","10.1109/IGARSS.2016.7729043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7729043","Deep learning;Landsat;big data;geospatial analysis;neural network;remote sensing data","Agriculture;Big data;Earth;Machine learning;Monitoring;Remote sensing;Satellites","geophysical image processing;image classification;image fusion;image segmentation;land cover;learning (artificial intelligence);terrain mapping","AD 1990 to 2010;AD 2015;Ukraine;area estimation;data classification;data preprocessing;data segmentation;deep learning approach;geospatial analysis;heterogeneous data fusion;high-resolution land cover map;high-resolution land use map;large-scale classification;large-scale land cover mapping;multilayer perceptrons;remote sensing data fusion;self-organizing maps","","","","","","","","10-15 July 2016","","IEEE","IEEE Conferences"
"Dione: Profiling spark applications exploiting graph similarity","N. Zacheilas; S. Maroulis; V. Kalogeraki","Department of Informatics, Athens University of Economics and Business, Athens, Greece","2017 IEEE International Conference on Big Data (Big Data)","20180115","2017","","","389","394","In recent years distributed processing frameworks such as Apache Spark have been utilized for running big data applications. Predicting the application's execution time has been an important goal since it can help the end user to determine the necessary processing resources to be reserved. While there have been some previous works that examine the problem of profiling Spark applications, they mainly focus on specific application types (e.g., Machine learning applications) and rely on the existence of a large number of previous execution runs. In this work we aim at overcoming these limitations by minimizing the number of past execution runs needed for the profiling phase. Furthermore, we identify patterns of continuous identical dataset transformations between different applications to cope with the limited historical data availability. We propose an on-line profiling framework, called Dione, that estimates the running times of new applications, even if no historical data is available. Finally, in our detailed experimental evaluation, using practical workloads on our local cluster, we illustrate that our approach accurately predicts the execution times of Spark applications and requires 30% less training time and monetary cost compared to the current state-of-the-art techniques.","","Electronic:978-1-5386-2715-0; POD:978-1-5386-2716-7; USB:978-1-5386-2714-3","10.1109/BigData.2017.8257950","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8257950","Big Data;Graph similarity;Profiling;Spark","Buildings;Cloud computing;Computational modeling;Data models;Measurement;Predictive models;Sparks","Big Data;cluster computing;data analysis;distributed processing;graph theory;program diagnostics","Apache Spark;Dione;big data applications;execution times;graph similarity;historical data availability;on-line profiling framework;profiling Spark applications;profiling phase;running times;specific application types","","","","","","","","11-14 Dec. 2017","","IEEE","IEEE Conferences"
"Data Mining-Based Analysis of HPC Center Operations","J. Klinkenberg; C. Terboven; S. Lankes; M. S. Müller","","2017 IEEE International Conference on Cluster Computing (CLUSTER)","20170925","2017","","","766","773","Size and complexity of contemporary High Performance Computing (HPC) systems increases permanently. While the reliability of a single component and compute node is high, the huge amount of components comprising these systems results in the fact that defects happen regularly. This drives the need to manage failure situations. Common issues are component failures or node soft lock-ups that typically lead to crashes of the user jobs that are scheduled on the affected node, and may cause undesired downtime. One approach to mitigate the impact of such problems is to predict node failures with a sufficient lead time in order to take proactive measures. However, accurate prediction is a challenging task.The literature describes several approaches that focus on gathering and analyzing system event logs in order to create prediction models. In this paper, we present a different approach by using descriptive statistics and supervised machine learning to create a prediction model from monitoring data. Our approach is based on the assumption, that features of a certain time frame before a critical event (i. e., a failure or soft lock-up) can serve as an indicator. Consequently, our model is trained with monitoring data from critical and healthy time frames. The evaluation with standard monitoring data collected from the HPC systems at RWTH Aachen University shows that our classifier is able to locate potentially failing nodes with a 10-fold cross precision of 98% and recall of 91 %.","","Electronic:978-1-5386-2326-8; POD:978-1-5386-2327-5","10.1109/CLUSTER.2017.23","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8049014","big data;failure prediction;large scale;machine learning;monitoring","Fans;Feature extraction;Hardware;Monitoring;Predictive models;Temperature sensors;Time series analysis","computer centres;data analysis;data mining;failure analysis;learning (artificial intelligence);parallel processing;statistics;system monitoring","HPC center operations;HPC systems;component failures;data mining;descriptive statistics;healthy time frames;high performance computing center operations;node failures;node soft lock-ups;standard data monitoring;supervised machine learning","","","","","","","","5-8 Sept. 2017","","IEEE","IEEE Conferences"
"Text categorization using Rocchio algorithm and random forest algorithm","S. T. Selvi; P. Karthikeyan; A. Vincent; V. Abinaya; G. Neeraja; R. Deepika","Department of Computer Technology, Madras Institute of Technology Campus, Anna University, Chennai, India","2016 Eighth International Conference on Advanced Computing (ICoAC)","20170619","2017","","","7","12","Millions of file uploads and downloads happen every minute resulting in big data creation and manual text categorization is not possible. Hence, there is a need for automatic categorization of documents that makes storage and retrieval more efficient. This research paper proposes a hybrid text categorization model that combines both Rocchio algorithm and Random Forest algorithm to perform Multi-label text categorization. Stop word remover and word stemmer has been used to overcome the limitations in Rocchio Algorithm. Random Forest model takes minimal categories as input to reduce its error rate. Experiments were done on standard text categorization datasets. Our proposed model is found to be more efficient in categorizing the documents when compared with other text categorization models such as fuzzy relevance clustering, ML-KNN (Multi-label KNN) and Naïve-Bayes Algorithms.","","Electronic:978-1-5090-5888-4; POD:978-1-5090-5889-1","10.1109/ICoAC.2017.7951736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7951736","decision trees;information retrieval;text categorization;vector space model","Algorithm design and analysis;Classification algorithms;Clustering algorithms;Decision trees;Feature extraction;Testing;Text categorization","Big Data;random functions;relevance feedback;text analysis","Big Data creation;Rocchio algorithm;automatic document categorization;file downloads;file uploads;hybrid text categorization model;information retrieval;multilabel text categorization;random forest algorithm;word remover;word stemmer","","","","","","","","19-21 Jan. 2017","","IEEE","IEEE Conferences"
"Privacy-Preserving Machine Learning Algorithms for Big Data Systems","K. Xu; H. Yue; L. Guo; Y. Guo; Y. Fang","Dept. of Electr. & Comput. Eng., Univ. of Florida, Gainesville, FL, USA","2015 IEEE 35th International Conference on Distributed Computing Systems","20150723","2015","","","318","327","Machine learning has played an increasing important role in big data systems due to its capability of efficiently discovering valuable knowledge and hidden information. Often times big data such as healthcare systems or financial systems may involve with multiple organizations who may have different privacy policy, and may not explicitly share their data publicly while joint data processing may be a must. Thus, how to share big data among distributed data processing entities while mitigating privacy concerns becomes a challenging problem. Traditional methods rely on cryptographic tools and/or randomization to preserve privacy. Unfortunately, this alone may be inadequate for the emerging big data systems because they are mainly designed for traditional small-scale data sets. In this paper, we propose a novel framework to achieve privacy-preserving machine learning where the training data are distributed and each shared data portion is of large volume. Specifically, we utilize the data locality property of Apache Hadoop architecture and only a limited number of cryptographic operations at the Reduce() procedures to achieve privacy-preservation. We show that the proposed scheme is secure in the semi-honest model and use extensive simulations to demonstrate its scalability and correctness.","1063-6927;10636927","Electronic:978-1-4673-7214-5; POD:978-1-4673-7215-2","10.1109/ICDCS.2015.40","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7164918","","Big data;Data mining;Kernel;Protocols;Support vector machines;Training;Training data","Big Data;data privacy;learning (artificial intelligence);parallel processing","Apache Hadoop architecture;Big Data systems;cryptographic operations;data locality property;privacy-preserving machine learning","","12","","31","","","","June 29 2015-July 2 2015","","IEEE","IEEE Conferences"
"A survey of clustering techniques for big data analysis","S. Arora; I. Chana","Department of Computer Science and Engineering, Thapar University, Patiala, India","2014 5th International Conference - Confluence The Next Generation Information Technology Summit (Confluence)","20141110","2014","","","59","65","With the beginning of new era data has grown rapidly not only in size but also in variety. There is a difficulty in analyzing such big data. Data mining is the technique in which useful information and hidden relationship among data is extracted. The traditional data mining approaches could not be directly implanted on big data as it faces difficulties to analyze big data. Clustering is one of the major techniques used for data mining in which mining is performed by finding out clusters having similar group of data. In this paper we have discussed some of the current big data mining clustering techniques. Comprehensive analysis of these techniques is carried out and appropriate clustering algorithm is provided.","","CD-ROM:978-1-4799-4237-4; Electronic:978-1-4799-4236-7; POD:978-1-4799-4235-0","10.1109/CONFLUENCE.2014.6949256","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6949256","Big data;Clustering Techniques;Data Mining","Algorithm design and analysis;Big data;Classification algorithms;Clustering algorithms;Data mining;Machine learning algorithms;Partitioning algorithms","Big Data;data mining;pattern clustering","Big Data analysis;clustering techniques;data mining","","5","","20","","","","25-26 Sept. 2014","","IEEE","IEEE Conferences"
"Fuzzy Based Clustering Algorithms to Handle Big Data with Implementation on Apache Spark","N. Bharill; A. Tiwari; A. Malviya","Dept. of Comput. Sci. & Eng., Indian Inst. of Technol., Indore, Indore, India","2016 IEEE Second International Conference on Big Data Computing Service and Applications (BigDataService)","20160523","2016","","","95","104","With the advancement in technology, a huge amount of data containing useful information, called Big Data, is generated on a daily basis. For processing such tremendous volume of data, there is a need of Big Data frameworks such as Hadoop MapReduce, Apache Spark etc. Among these, Apache Spark performs up to 100 times faster than conventional frameworks like Hadoop Mapreduce. For the effective analysis and interpretation of this data, scalable Machine Learning methods are required to overcome the space and time bottlenecks. Partitional clustering algorithms are widely adopted by researchers for clustering large datasets due to their low computational requirements. Thus, we focus on the design of partitional clustering algorithm and its implementation on Apache Spark. In this paper, we propose a partitional based clustering algorithm called Scalable Random Sampling with Iterative Optimization Fuzzy c-Means algorithm (SRSIO-FCM) which is implemented on Apache Spark to handle the challenges associated with Big Data Clustering. Experimentation is performed on several big datasets to show the effectiveness of SRSIO-FCM in comparison with a proposed scalable version of the Literal Fuzzy c-Means (LFCM) called SLFCM implemented on Apache Spark. The comparative results are reported in terms of value of F-measure, ARI, Objective function, Run-time and Scalability. The reported results show the great potential of SRSIO-FCM for Big Data clustering.","","Electronic:978-1-5090-2251-9; POD:978-1-5090-2252-6","10.1109/BigDataService.2016.34","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7474361","Apache Spark;Big Data;Fuzzy Clustering;Iterative Algorithms;Partitional clustering","","Big Data;fuzzy set theory;iterative methods;learning (artificial intelligence);optimisation;parallel programming;pattern clustering;random processes;sampling methods","ARI;Apache Spark;Big Data clustering;Big Data handling;F-measure;Hadoop MapReduce;SLFCM;SRSIO-FCM;data analysis;data interpretation;data processing;fuzzy based clustering algorithms;literal fuzzy c-means;objective function;partitional clustering algorithm;run-time analysis;scalability analysis;scalable machine learning method;scalable random sampling-with-iterative optimization fuzzy c-means algorithm","","2","","31","","","","March 29 2016-April 1 2016","","IEEE","IEEE Conferences"
"Data chaos: An entropy based MapReduce framework for scalable learning","J. Chen; H. Chen; X. Chen; G. Zheng; Z. Wu","","2013 IEEE International Conference on Big Data","20131223","2013","","","71","78","Chaos of data is the total unpredictability of all the data elements, and can by quantified by Shannon entropy. In this paper, we firstly propose an entropy based theoretic framework for machine learning, which states that chaos in sample data will decrease and rule will advance as learning progresses. However, it is usually time consuming to apply the theoretic framework because groups of rule need to be trained iteratively and data chaos will be recalculated during each iteration. To implement the theoretic framework for scalable learning, we propose a MapReduce based distributed computational framework. In a case study of classification, the framework parallelly trains multiple classifiers and calculats chaos of the sample set during each iteration, and then resamples a small sample subset with the highest entropy for training of the next iteration, reducing chaos in sample data as quickly as possible. With typical classification benchmarks, our experiment presents entropy in sample data, and proves that the theoretic framework is rational and can help improve the accuracy of machine learning. Meanwhile, the computational framework shows high performance including high efficiency and scalability for large scale learning on hadoop cluster.","","Electronic:978-1-4799-1293-3; POD:978-1-4799-1294-0","10.1109/BigData.2013.6691736","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6691736","Chaos;Entropy;Machine Learning;MapReduce","Accuracy;Benchmark testing;Chaos;Entropy;Prediction algorithms;Training;Uncertainty","entropy;learning (artificial intelligence);parallel processing;pattern classification","Hadoop cluster;MapReduce based distributed computational framework;Shannon entropy;classification benchmark;computational framework;data chaos;data element total unpredictability;entropy based MapReduce framework;entropy based theoretic framework;large scale learning;machine learning;multiple classifier parallel training;scalable learning","","1","","24","","","","6-9 Oct. 2013","","IEEE","IEEE Conferences"
"[Title page i]","","","2016 IEEE International Conferences on Big Data and Cloud Computing (BDCloud), Social Computing and Networking (SocialCom), Sustainable Computing and Communications (SustainCom) (BDCloud-SocialCom-SustainCom)","20161031","2016","","","i","i","The following topics are dealt with: cloud computing; Big Data processing; spatio-temporal data; machine learning; data mining; crowdsourcing; smart city; data clustering; security; privacy; sensor network; community detection; influential social network; advertisement; recommendation; environment sustainability; smart energy; energy-aware computing; energy-aware networking; Big Data science and bioinformatics.","","","10.1109/BDCloud-SocialCom-SustainCom.2016.1","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7723655","","","Big Data;advertising;bioinformatics;cloud computing;computer networks;data mining;data privacy;learning (artificial intelligence);pattern clustering;power aware computing;recommender systems;security of data;sensors;smart cities;social networking (online);sustainable development","Big Data processing;Big Data science;advertisement;bioinformatics;cloud computing;community detection;crowdsourcing;data clustering;data mining;energy-aware computing;energy-aware networking;environment sustainability;influential social network;machine learning;privacy;recommendation;security;sensor network;smart city;smart energy;spatio-temporal data","","","","","","","","8-10 Oct. 2016","","IEEE","IEEE Conferences"
